# SLTD+BAO Angular distance posterior from GP 
#  redshifts : 0.35, 0.44, 0.57, 0.6, 0.73, 2.34 
# 
#        d1               d2               d3               d4               d5               d6               d7               d8               d9
   8.4346438e+02    8.8250018e+02    9.8221964e+02    1.1525436e+03    1.3760244e+03    1.4346395e+03    1.6249270e+03    1.6360537e+03    1.5289164e+03
   8.9063639e+02    9.3468774e+02    1.0100690e+03    1.1931893e+03    1.3761790e+03    1.4229043e+03    1.5554727e+03    1.5555760e+03    1.5045406e+03
   8.9538443e+02    9.1346186e+02    1.0150684e+03    1.1532323e+03    1.3269363e+03    1.3790541e+03    1.5101228e+03    1.5156833e+03    1.7521607e+03
   9.2096190e+02    9.7172592e+02    1.0591525e+03    1.2279051e+03    1.4398493e+03    1.4553748e+03    1.5795887e+03    1.6077307e+03    1.5117300e+03
   8.5409239e+02    9.2085024e+02    1.0010939e+03    1.2019786e+03    1.4433889e+03    1.4759686e+03    1.6079446e+03    1.6116471e+03    1.6265765e+03
   9.0188639e+02    9.4116139e+02    1.0421596e+03    1.1978183e+03    1.3563128e+03    1.3726345e+03    1.4472339e+03    1.4364084e+03    1.5466618e+03
   9.1350432e+02    9.4995818e+02    1.0321458e+03    1.1960691e+03    1.3994607e+03    1.4197861e+03    1.5463480e+03    1.5517404e+03    1.5905932e+03
   9.6857748e+02    1.0168464e+03    1.0996939e+03    1.2426918e+03    1.3750644e+03    1.4039763e+03    1.4695944e+03    1.4726547e+03    1.6245598e+03
   8.4240949e+02    8.8672502e+02    9.8172075e+02    1.1649981e+03    1.3675852e+03    1.3888493e+03    1.4969114e+03    1.4906647e+03    1.5673626e+03
   8.8258338e+02    9.1149781e+02    1.0026222e+03    1.1769967e+03    1.3707532e+03    1.4118757e+03    1.5821162e+03    1.6240302e+03    1.6879475e+03
   9.3783505e+02    9.8164228e+02    1.0445712e+03    1.2194083e+03    1.3945830e+03    1.4428171e+03    1.5833357e+03    1.5904679e+03    1.5823425e+03
   8.9570038e+02    9.3669283e+02    1.0605036e+03    1.2435787e+03    1.4404260e+03    1.4911815e+03    1.6186177e+03    1.6067983e+03    1.6946178e+03
   8.4521736e+02    8.8608985e+02    9.7242314e+02    1.2079016e+03    1.4416106e+03    1.4940891e+03    1.6455153e+03    1.6731690e+03    1.4876892e+03
   9.2748195e+02    9.4846439e+02    1.0378817e+03    1.2066601e+03    1.3962115e+03    1.4391519e+03    1.5510810e+03    1.5533060e+03    1.5392621e+03
   9.4619418e+02    9.8149463e+02    1.0580256e+03    1.2367798e+03    1.4413802e+03    1.4652319e+03    1.5994863e+03    1.6068810e+03    1.5595716e+03
