# SLTD+BAO Angular distance posterior from GP 
#  redshifts : 0.35, 0.44, 0.57, 0.6, 0.73, 2.34 
# 
#        d1               d2               d3               d4               d5               d6               d7               d8               d9
   7.1341439e+02    7.5510602e+02    9.6506417e+02    9.3570068e+02    1.1064035e+03    1.3323852e+03    1.8043950e+03    1.7894080e+03    1.2885236e+03
   7.1599327e+02    8.4417941e+02    8.1654422e+02    1.1817729e+03    1.3163155e+03    1.5747165e+03    1.8314069e+03    1.7570119e+03    1.3884153e+03
   9.3346861e+02    7.4993638e+02    1.1345622e+03    1.0112868e+03    1.1086012e+03    1.3588049e+03    1.5537707e+03    1.4512017e+03    2.1059791e+03
   7.3390861e+02    9.2398328e+02    1.0172465e+03    1.1389561e+03    1.7000850e+03    1.4031485e+03    1.6429983e+03    1.8558709e+03    1.2223049e+03
   7.0110832e+02    1.0707707e+03    8.6534185e+02    1.0333785e+03    1.4338898e+03    1.4669887e+03    1.3565519e+03    1.4379293e+03    1.3720875e+03
   6.7728189e+02    7.3174344e+02    9.9731138e+02    1.2067014e+03    1.5337156e+03    1.7645285e+03    1.5321615e+03    1.7487134e+03    1.8272394e+03
   8.2013327e+02    8.6944709e+02    9.3773027e+02    1.0987976e+03    1.4906730e+03    1.5082792e+03    1.4915818e+03    1.7458709e+03    1.5287978e+03
   7.6764043e+02    9.6935946e+02    1.1390684e+03    1.3530157e+03    1.5434292e+03    1.6501233e+03    1.6771554e+03    1.5804039e+03    1.7954634e+03
   6.6457423e+02    7.4595565e+02    8.3366136e+02    1.0593593e+03    1.4252588e+03    1.5779757e+03    1.4148899e+03    1.6455005e+03    1.7265704e+03
   9.0755076e+02    8.2368987e+02    9.9430287e+02    1.1212469e+03    1.1917121e+03    1.0345755e+03    1.6425696e+03    1.6137677e+03    1.6151900e+03
   8.3841167e+02    1.0118091e+03    8.9238807e+02    1.2566667e+03    1.3018702e+03    1.4748695e+03    1.8043664e+03    1.6818710e+03    1.3938214e+03
   8.6319980e+02    8.5829333e+02    1.2553300e+03    1.2109964e+03    1.1751463e+03    1.5364138e+03    1.3823387e+03    1.3584837e+03    1.4253148e+03
   7.7720976e+02    7.7780148e+02    7.0471819e+02    1.1823389e+03    1.4013563e+03    1.3365150e+03    1.7426786e+03    1.5631384e+03    1.0746639e+03
   8.8802486e+02    7.4771347e+02    9.2089556e+02    1.1568235e+03    1.4518256e+03    1.6763920e+03    1.7138473e+03    1.6612803e+03    1.4129837e+03
   8.9608898e+02    9.3168720e+02    9.2454452e+02    1.2310932e+03    1.5342286e+03    1.5349874e+03    1.5595033e+03    1.7692706e+03    1.2637499e+03
   8.0506029e+02    8.6216290e+02    9.5400089e+02    9.7665109e+02    1.4257013e+03    1.5314112e+03    1.6224365e+03    1.4202442e+03    1.4840902e+03
   7.8825816e+02    9.4296910e+02    7.6910879e+02    9.4285751e+02    1.1597603e+03    1.4164469e+03    1.3616323e+03    1.3798883e+03    1.3733750e+03
   8.9869038e+02    9.1242008e+02    9.8942328e+02    9.8616978e+02    1.6473543e+03    1.4071709e+03    1.8673386e+03    1.5322107e+03    1.7681596e+03
   8.4367814e+02    8.5821107e+02    9.5163346e+02    9.2216799e+02    1.2791111e+03    1.4764777e+03    1.6381198e+03    1.3168712e+03    1.6640361e+03
   7.6375361e+02    8.8307510e+02    1.0919578e+03    1.1770954e+03    1.4488888e+03    1.3483083e+03    1.4350022e+03    1.5239879e+03    1.5262992e+03
   6.2939349e+02    8.6134384e+02    1.0764267e+03    1.1942894e+03    1.5448693e+03    1.5178752e+03    1.4045962e+03    1.6197384e+03    2.0602299e+03
   6.9472251e+02    7.5067633e+02    7.3066082e+02    1.0700171e+03    1.4134538e+03    1.4016144e+03    1.6448627e+03    1.4582219e+03    1.7124041e+03
   8.1857800e+02    6.9976565e+02    1.0027083e+03    1.1431903e+03    1.2122139e+03    1.1940668e+03    1.3895076e+03    1.4769465e+03    1.2855220e+03
   9.0272193e+02    8.4612414e+02    9.6965334e+02    1.1961951e+03    1.4508787e+03    1.3853015e+03    1.6404817e+03    1.9056739e+03    1.6154808e+03
   7.0158818e+02    8.1756504e+02    8.4951684e+02    1.1621849e+03    1.5624325e+03    1.8036643e+03    1.6003292e+03    1.9382383e+03    1.3113464e+03
   7.3756718e+02    8.3270065e+02    1.0342643e+03    1.0771780e+03    1.5858264e+03    1.4886251e+03    1.5900640e+03    1.5727870e+03    1.5645100e+03
   7.3814467e+02    8.1594980e+02    1.0342211e+03    1.5181389e+03    1.7253323e+03    1.5830214e+03    1.6391937e+03    1.7803327e+03    1.4221336e+03
   7.9890917e+02    1.0391386e+03    1.0071655e+03    1.0472271e+03    1.3028292e+03    1.2757851e+03    1.5201880e+03    1.7802306e+03    1.8973497e+03
   6.9764432e+02    9.2469054e+02    8.7479051e+02    9.9423833e+02    1.5302460e+03    1.5802314e+03    1.5247366e+03    1.8765990e+03    1.5728542e+03
   7.4489770e+02    7.7735814e+02    9.8906325e+02    1.3769456e+03    1.5313815e+03    1.5060948e+03    1.5704451e+03    1.5751917e+03    1.8112671e+03
   6.2427823e+02    6.4902659e+02    7.7717013e+02    1.0366251e+03    1.4018514e+03    1.8315290e+03    1.6615414e+03    2.0903709e+03    1.8822299e+03
   6.5757644e+02    6.3678285e+02    9.5246814e+02    1.1556106e+03    1.3168676e+03    1.2322224e+03    1.6856890e+03    1.5033511e+03    1.3819143e+03
   6.9942896e+02    9.7792925e+02    1.1253275e+03    1.1966391e+03    1.1972726e+03    1.3065478e+03    1.5649725e+03    1.5061815e+03    1.4116029e+03
   6.2382912e+02    8.2950135e+02    9.7449460e+02    1.2810174e+03    1.3478887e+03    1.3826572e+03    1.5393369e+03    1.6814140e+03    1.6168237e+03
   7.8161084e+02    7.8981228e+02    8.8825428e+02    1.2927185e+03    1.6750445e+03    1.4914185e+03    1.7067340e+03    2.0300479e+03    1.9104844e+03
   7.5212532e+02    9.0351325e+02    9.4950104e+02    1.1034922e+03    1.4247249e+03    1.4886310e+03    1.4707541e+03    1.7039849e+03    1.6518089e+03
   1.0355422e+03    7.9650069e+02    9.1082041e+02    1.0877582e+03    1.4557122e+03    1.4459944e+03    1.9551518e+03    1.8395441e+03    1.7520197e+03
   6.2847396e+02    7.4456581e+02    9.7158260e+02    1.3087668e+03    1.3896070e+03    1.9012577e+03    1.8512481e+03    1.6808285e+03    2.2549851e+03
   7.9273608e+02    8.2490644e+02    9.1467659e+02    1.2051186e+03    1.3764619e+03    1.6330714e+03    1.6173908e+03    1.6995297e+03    1.9888736e+03
   8.8327627e+02    1.0019621e+03    1.2036483e+03    1.1399067e+03    1.6850946e+03    1.5633612e+03    1.6011991e+03    1.5216127e+03    1.5659466e+03
   7.4643677e+02    7.6229444e+02    8.8428023e+02    1.1160120e+03    1.4248544e+03    1.4459611e+03    1.6218195e+03    1.7502397e+03    1.4530437e+03
   9.2608856e+02    9.7622498e+02    9.7228937e+02    1.1818291e+03    1.2796483e+03    1.6428903e+03    1.5516013e+03    1.7942623e+03    1.7613280e+03
   1.0426893e+03    8.7649542e+02    1.0198584e+03    9.8026631e+02    1.5185592e+03    1.5618880e+03    1.2936556e+03    1.5261381e+03    1.6709789e+03
   9.0385525e+02    1.0368828e+03    1.0475743e+03    1.1995442e+03    1.6454111e+03    1.5034214e+03    1.5606990e+03    1.9281995e+03    1.4070519e+03
   7.5640299e+02    8.1903301e+02    9.1303846e+02    1.0232915e+03    1.3006635e+03    1.7663957e+03    1.5394123e+03    1.7825442e+03    1.2115112e+03
   8.0935277e+02    8.2763467e+02    1.0224143e+03    1.0452083e+03    1.4208143e+03    1.6353414e+03    1.5408003e+03    1.4987795e+03    1.4446126e+03
   7.4518559e+02    7.6003631e+02    8.5433938e+02    1.2959059e+03    1.0388888e+03    1.3964152e+03    1.4151628e+03    1.7650742e+03    1.3327238e+03
   8.9619114e+02    8.1139088e+02    8.2591658e+02    9.7053239e+02    1.4997052e+03    1.7699589e+03    1.4542083e+03    1.7008645e+03    1.6109823e+03
   8.1185839e+02    8.3049389e+02    9.7890204e+02    1.1227134e+03    1.1705172e+03    1.3646420e+03    1.5193565e+03    1.5417533e+03    1.6066869e+03
   8.7493540e+02    8.6912648e+02    9.5071130e+02    1.1758264e+03    1.5883557e+03    1.4307355e+03    1.7106635e+03    1.9453255e+03    1.6837895e+03
   9.7595719e+02    7.5924593e+02    9.9462559e+02    1.3640530e+03    1.6117033e+03    1.3180260e+03    1.6770378e+03    1.9330477e+03    1.4864988e+03
   8.6073529e+02    7.2469631e+02    1.0797379e+03    1.1416308e+03    1.2135184e+03    1.6343350e+03    1.5437395e+03    1.5320821e+03    1.8553376e+03
   9.7685927e+02    1.0286983e+03    1.1579693e+03    1.2840437e+03    1.3954744e+03    1.6605122e+03    1.8705340e+03    1.3538787e+03    2.0413681e+03
   7.7906895e+02    1.0158276e+03    1.0505448e+03    1.1805944e+03    1.2876313e+03    1.6867780e+03    1.5101215e+03    2.0956044e+03    1.4124397e+03
   7.7354275e+02    8.3065603e+02    8.3917918e+02    1.0447317e+03    1.3555583e+03    1.3909878e+03    1.8814406e+03    1.1813014e+03    1.4154956e+03
   7.3665680e+02    8.7434759e+02    8.9239240e+02    1.2765339e+03    1.3776343e+03    1.5109734e+03    1.5606561e+03    1.5443665e+03    1.8342595e+03
   8.5206541e+02    8.9231656e+02    8.5017594e+02    1.3888427e+03    1.2832444e+03    1.6671818e+03    1.3715078e+03    1.4406579e+03    2.0142987e+03
   8.6983384e+02    8.1202368e+02    1.0746904e+03    1.3026576e+03    1.3002911e+03    1.7231416e+03    1.8899797e+03    1.9710014e+03    1.8753419e+03
   7.1561818e+02    9.7465544e+02    8.9659959e+02    1.4977836e+03    1.5465482e+03    1.5008825e+03    1.4686502e+03    2.2326266e+03    1.9147438e+03
   7.9188016e+02    8.4709086e+02    9.8867374e+02    1.2217491e+03    1.5141514e+03    1.5036310e+03    1.4392026e+03    1.4733406e+03    1.3878517e+03
   8.9795107e+02    6.5326789e+02    9.8206887e+02    9.3589489e+02    1.4488662e+03    1.3614395e+03    1.8202134e+03    1.6681053e+03    1.8452336e+03
   9.4731272e+02    7.1816809e+02    1.0997625e+03    1.0413706e+03    1.4648201e+03    1.5476598e+03    1.7161573e+03    1.7609772e+03    1.6074799e+03
   6.5381318e+02    8.4950035e+02    1.0163551e+03    1.1156865e+03    1.7397409e+03    1.7150103e+03    1.9767575e+03    1.9459561e+03    1.6196620e+03
   8.1238433e+02    8.0126372e+02    7.9944199e+02    1.0712138e+03    1.3987381e+03    1.6806782e+03    1.6146237e+03    1.5555525e+03    1.5050048e+03
   8.0939193e+02    9.4961479e+02    8.0943898e+02    1.0065097e+03    1.5948031e+03    1.6455123e+03    1.6435974e+03    1.8038769e+03    1.9119084e+03
   8.9330049e+02    7.8653104e+02    7.9980138e+02    1.1688670e+03    1.6248041e+03    1.8587751e+03    1.4887116e+03    1.6389721e+03    1.6518579e+03
   7.8229603e+02    9.4375523e+02    8.7615047e+02    1.1210843e+03    1.5011087e+03    1.4446994e+03    1.3629786e+03    1.6471967e+03    1.5798363e+03
   8.4118811e+02    7.1585885e+02    8.6670256e+02    1.0448442e+03    1.5382322e+03    1.5205105e+03    1.3493095e+03    1.7434855e+03    1.9685250e+03
   9.0639280e+02    7.2632671e+02    1.0205342e+03    1.1286201e+03    1.3331927e+03    1.3645177e+03    1.6562243e+03    1.5295356e+03    1.4235772e+03
   8.8007061e+02    7.8087082e+02    9.2844776e+02    1.1910093e+03    1.3926059e+03    1.6981006e+03    1.6583399e+03    1.4912551e+03    1.7353074e+03
   7.7808827e+02    8.7403013e+02    9.0216879e+02    1.2482891e+03    1.6489696e+03    1.4563054e+03    1.7479754e+03    1.6667078e+03    1.6403071e+03
   6.7396046e+02    8.2855115e+02    7.9987388e+02    9.4280173e+02    1.4113192e+03    1.5749356e+03    1.6892380e+03    1.6429686e+03    1.3720485e+03
   7.8478404e+02    8.8727334e+02    1.0592409e+03    1.5158767e+03    1.5069813e+03    1.5732268e+03    1.5292838e+03    1.4929535e+03    1.3899944e+03
   9.1023232e+02    8.6144361e+02    9.6497336e+02    1.2808523e+03    1.5643549e+03    1.6325685e+03    1.4891497e+03    1.6281527e+03    1.9445374e+03
   8.9161438e+02    1.0369537e+03    1.1068369e+03    9.5798283e+02    1.5735100e+03    1.2678890e+03    1.3487024e+03    1.5139861e+03    1.6521432e+03
   7.1502526e+02    7.7462046e+02    8.7726008e+02    1.0243896e+03    1.2895243e+03    1.5278574e+03    2.0481731e+03    1.6871236e+03    1.6155880e+03
   6.1833262e+02    6.6524150e+02    7.2606352e+02    1.5437023e+03    1.4751360e+03    1.7879794e+03    1.7487704e+03    2.0431332e+03    2.0038105e+03
   8.7329704e+02    7.2526903e+02    1.0106757e+03    1.2694718e+03    1.6033771e+03    1.8694471e+03    1.7031285e+03    1.9750616e+03    1.7302148e+03
   9.2722336e+02    9.0641283e+02    1.0261069e+03    1.1288045e+03    1.2008694e+03    1.5582470e+03    1.8538460e+03    1.9082688e+03    1.4207382e+03
   7.3308730e+02    9.0346010e+02    8.5223937e+02    9.7859392e+02    1.2831380e+03    1.4494988e+03    1.6124276e+03    1.7105536e+03    1.7102151e+03
   7.3178713e+02    9.3961573e+02    8.5536738e+02    1.1006086e+03    1.6676343e+03    1.6001924e+03    1.7046549e+03    1.5143672e+03    1.7318263e+03
   8.0426545e+02    8.9020673e+02    7.1457627e+02    1.3173333e+03    1.4738107e+03    1.2910968e+03    1.2813035e+03    1.7288893e+03    1.7788793e+03
   6.8646269e+02    8.9393457e+02    1.0295893e+03    1.2697381e+03    1.3317548e+03    1.2957397e+03    1.5412574e+03    1.6089383e+03    2.0008094e+03
   7.9859542e+02    6.7436169e+02    7.6197796e+02    1.0262471e+03    1.3614563e+03    1.5953009e+03    1.8458291e+03    1.5077175e+03    1.8744442e+03
   7.2093303e+02    7.2946910e+02    9.0079284e+02    1.2344197e+03    1.4448038e+03    1.4935609e+03    1.6020136e+03    1.3979698e+03    1.7196084e+03
   9.1776316e+02    8.5891918e+02    9.9744623e+02    1.0320097e+03    1.4885788e+03    1.4890840e+03    1.8383252e+03    1.8918634e+03    1.6892516e+03
   7.8544946e+02    7.5194700e+02    8.3786811e+02    1.1265670e+03    1.4517195e+03    1.7362331e+03    1.8111228e+03    1.4817439e+03    2.0402099e+03
   8.4334670e+02    8.9730277e+02    1.1447633e+03    1.1073963e+03    1.5301443e+03    1.5617965e+03    1.7475415e+03    1.8233277e+03    1.6019510e+03
   8.7596974e+02    9.3450211e+02    1.1908053e+03    1.1924121e+03    1.6404824e+03    1.3846876e+03    1.6266670e+03    1.4405644e+03    1.5571232e+03
   8.6041273e+02    7.3487621e+02    9.4908053e+02    1.0652040e+03    1.3425312e+03    1.2646315e+03    1.5393211e+03    1.7304575e+03    1.5968619e+03
   7.4315874e+02    9.3109567e+02    8.4343013e+02    1.4975152e+03    1.4111750e+03    1.5372974e+03    1.6470516e+03    1.8247864e+03    1.4338119e+03
   7.5947194e+02    8.3216856e+02    9.6624509e+02    1.1518647e+03    1.5779500e+03    1.4533170e+03    1.8377824e+03    1.3340211e+03    1.6289897e+03
   7.1027250e+02    8.1218366e+02    8.0921360e+02    1.0312390e+03    1.2230119e+03    1.4544927e+03    1.5749702e+03    1.7035029e+03    1.5524099e+03
   8.9447953e+02    7.8804967e+02    9.1417350e+02    1.2765060e+03    1.2651668e+03    1.6779017e+03    1.7772762e+03    1.5918513e+03    1.5153587e+03
   8.4999493e+02    7.7260401e+02    8.8035985e+02    9.2405920e+02    1.5630483e+03    1.5882318e+03    1.2978699e+03    1.5491827e+03    1.7598722e+03
   7.7501417e+02    7.7130673e+02    8.7095688e+02    1.2812083e+03    1.4191096e+03    1.4485859e+03    1.6766520e+03    1.6751762e+03    2.0629517e+03
   8.6486063e+02    7.1282416e+02    8.2629455e+02    1.1233255e+03    1.3921832e+03    1.5682903e+03    1.6183775e+03    1.6162917e+03    1.8099063e+03
   8.4347897e+02    1.1188106e+03    9.0926655e+02    1.2309663e+03    1.5214775e+03    1.4957087e+03    1.4131836e+03    1.6737592e+03    1.6855607e+03
   7.6897596e+02    7.9880208e+02    1.0891298e+03    1.1868194e+03    1.3430094e+03    1.4291056e+03    1.4608647e+03    1.6247707e+03    1.7588275e+03
   6.0329608e+02    1.0939670e+03    1.0128304e+03    1.3111443e+03    1.3010418e+03    1.3667051e+03    1.4955896e+03    1.5570250e+03    1.4530030e+03
   9.2115101e+02    7.7496506e+02    8.7622971e+02    1.3134990e+03    1.7339627e+03    1.4234121e+03    1.8387387e+03    1.8246512e+03    1.8198368e+03
   8.5119095e+02    8.0025193e+02    8.4379623e+02    8.6656742e+02    1.2785004e+03    1.5424544e+03    1.4580435e+03    1.3914070e+03    1.8373679e+03
   7.6878865e+02    1.0328335e+03    8.8725823e+02    1.1407661e+03    1.0877604e+03    1.3384292e+03    1.6850471e+03    1.6200797e+03    1.7545676e+03
   7.9775110e+02    8.5785821e+02    8.5599897e+02    1.0954894e+03    1.5483415e+03    1.4739505e+03    1.6895951e+03    2.1139307e+03    1.3847066e+03
   8.7626471e+02    1.1231983e+03    9.3570553e+02    1.5111033e+03    1.2556131e+03    1.5505847e+03    1.6826661e+03    1.4895929e+03    1.4860358e+03
   6.9020338e+02    8.7663609e+02    8.8904275e+02    1.0949510e+03    1.3742974e+03    1.6847592e+03    1.7736219e+03    1.7244640e+03    1.3836632e+03
   5.9973521e+02    8.6935753e+02    1.0774445e+03    1.2001936e+03    1.3289839e+03    1.3917555e+03    1.7250507e+03    1.6550127e+03    1.4427463e+03
   7.5280702e+02    7.1442246e+02    9.7236233e+02    1.1954315e+03    1.2620997e+03    1.2544090e+03    1.7544798e+03    1.5816678e+03    1.6491769e+03
   7.3635538e+02    7.9839520e+02    9.8267264e+02    1.1416962e+03    1.6293743e+03    1.6002120e+03    1.7187936e+03    1.6718166e+03    1.1773859e+03
   6.6260816e+02    8.3127510e+02    9.3470245e+02    1.2681325e+03    1.3685377e+03    1.7015862e+03    1.7536065e+03    1.6415024e+03    1.5801791e+03
   8.1949116e+02    8.6914786e+02    9.2435230e+02    1.1626934e+03    1.2687841e+03    1.3985032e+03    1.4283447e+03    1.6898668e+03    1.6392787e+03
   7.6264585e+02    8.5668105e+02    9.3961664e+02    1.2889724e+03    1.3705820e+03    1.7044118e+03    1.5245686e+03    1.8566425e+03    1.4475927e+03
   9.7107323e+02    8.6125572e+02    8.8709184e+02    1.1401783e+03    1.3712388e+03    1.1962023e+03    1.6127275e+03    1.7873608e+03    1.6676145e+03
