# SNIa relative magnitude posterior from GP 
#  redshifts : 0.295, 0.311, 0.35, 0.44, 0.57, 0.6, 0.73, 0.745, 2.34 
# 
#        d1               d2               d3               d4               d5               d6               d7               d8               d9
   2.1537686e+01    2.1704035e+01    2.2029611e+01    2.2551208e+01    2.3248659e+01    2.3359150e+01    2.3977938e+01    2.4061400e+01    2.6686496e+01
   2.1530194e+01    2.1715684e+01    2.1946311e+01    2.2576919e+01    2.3259405e+01    2.3396372e+01    2.3960796e+01    2.4003532e+01    2.6816052e+01
   2.1601196e+01    2.1728409e+01    2.2075680e+01    2.2574324e+01    2.3282710e+01    2.3312055e+01    2.3848623e+01    2.3974429e+01    2.6811107e+01
   2.1549648e+01    2.1660283e+01    2.2018001e+01    2.2586953e+01    2.3249990e+01    2.3475991e+01    2.3987929e+01    2.4002750e+01    2.6879418e+01
   2.1550562e+01    2.1750985e+01    2.2009461e+01    2.2586210e+01    2.3269650e+01    2.3492602e+01    2.3974953e+01    2.3934453e+01    2.6736618e+01
   2.1518605e+01    2.1653235e+01    2.1996076e+01    2.2562480e+01    2.3292886e+01    2.3377488e+01    2.3899169e+01    2.3908499e+01    2.6889222e+01
   2.1583635e+01    2.1690735e+01    2.2005419e+01    2.2571010e+01    2.3276501e+01    2.3418797e+01    2.3952544e+01    2.3955080e+01    2.6855919e+01
   2.1523302e+01    2.1712042e+01    2.2024296e+01    2.2613977e+01    2.3274776e+01    2.3416570e+01    2.3889117e+01    2.3935845e+01    2.7017129e+01
   2.1545544e+01    2.1676989e+01    2.1979555e+01    2.2552968e+01    2.3274699e+01    2.3396379e+01    2.3921755e+01    2.3909984e+01    2.6736796e+01
   2.1622507e+01    2.1705189e+01    2.2041641e+01    2.2634963e+01    2.3216492e+01    2.3366447e+01    2.3914455e+01    2.4035096e+01    2.6763031e+01
   2.1560668e+01    2.1751653e+01    2.1972760e+01    2.2613314e+01    2.3255846e+01    2.3413308e+01    2.3963825e+01    2.4011611e+01    2.6896158e+01
   2.1549503e+01    2.1729561e+01    2.2080816e+01    2.2633265e+01    2.3358130e+01    2.3390790e+01    2.3921823e+01    2.3989199e+01    2.6816283e+01
   2.1576942e+01    2.1695322e+01    2.1914618e+01    2.2604503e+01    2.3278014e+01    2.3454777e+01    2.3972667e+01    2.4060512e+01    2.6677430e+01
   2.1577735e+01    2.1685986e+01    2.1972054e+01    2.2560281e+01    2.3322945e+01    2.3396328e+01    2.3923981e+01    2.4008755e+01    2.6871112e+01
   2.1590955e+01    2.1697552e+01    2.1982488e+01    2.2600696e+01    2.3297843e+01    2.3445294e+01    2.3984892e+01    2.3994532e+01    2.6902843e+01
   2.1565522e+01    2.1727336e+01    2.2018757e+01    2.2545666e+01    2.3292243e+01    2.3441539e+01    2.3909488e+01    2.3990236e+01    2.6787987e+01
   2.1587113e+01    2.1776748e+01    2.1991314e+01    2.2570793e+01    2.3289100e+01    2.3435879e+01    2.3971203e+01    2.3968771e+01    2.6624315e+01
   2.1599468e+01    2.1715885e+01    2.2021815e+01    2.2535987e+01    2.3234444e+01    2.3443165e+01    2.3868706e+01    2.3993869e+01    2.6929390e+01
   2.1578107e+01    2.1756941e+01    2.2030476e+01    2.2540089e+01    2.3286188e+01    2.3413846e+01    2.3879953e+01    2.3990380e+01    2.6757306e+01
   2.1558707e+01    2.1689269e+01    2.2050799e+01    2.2620678e+01    2.3275347e+01    2.3433178e+01    2.3923918e+01    2.3962516e+01    2.6821827e+01
   2.1515330e+01    2.1673715e+01    2.2041625e+01    2.2594505e+01    2.3245290e+01    2.3405401e+01    2.3885929e+01    2.3870580e+01    2.6876731e+01
   2.1562190e+01    2.1702898e+01    2.1942057e+01    2.2564392e+01    2.3243874e+01    2.3413890e+01    2.3882871e+01    2.3958101e+01    2.6697742e+01
   2.1589113e+01    2.1669634e+01    2.2036489e+01    2.2636531e+01    2.3307607e+01    2.3392194e+01    2.3938694e+01    2.4029295e+01    2.6647663e+01
   2.1604794e+01    2.1679236e+01    2.2002482e+01    2.2593720e+01    2.3251141e+01    2.3381378e+01    2.3942572e+01    2.3983151e+01    2.6923726e+01
   2.1530259e+01    2.1669198e+01    2.1952099e+01    2.2550529e+01    2.3296330e+01    2.3425242e+01    2.3992338e+01    2.3959190e+01    2.6859977e+01
   2.1548023e+01    2.1678461e+01    2.2029157e+01    2.2566441e+01    2.3271588e+01    2.3439859e+01    2.3908129e+01    2.3965350e+01    2.6845928e+01
   2.1528802e+01    2.1637484e+01    2.1978407e+01    2.2638400e+01    2.3290750e+01    2.3433241e+01    2.3930647e+01    2.3967028e+01    2.6968956e+01
   2.1585958e+01    2.1736264e+01    2.2052129e+01    2.2588995e+01    2.3198376e+01    2.3388387e+01    2.3943745e+01    2.3934275e+01    2.6874829e+01
   2.1551950e+01    2.1697287e+01    2.1997209e+01    2.2533219e+01    2.3240655e+01    2.3431117e+01    2.3975650e+01    2.3927038e+01    2.6838103e+01
   2.1545203e+01    2.1666957e+01    2.1989195e+01    2.2623659e+01    2.3277324e+01    2.3395159e+01    2.3873906e+01    2.3935022e+01    2.6896396e+01
   2.1521391e+01    2.1648682e+01    2.1938599e+01    2.2497247e+01    2.3256530e+01    2.3327552e+01    2.3932836e+01    2.3910285e+01    2.6805890e+01
   2.1529627e+01    2.1644873e+01    2.2004348e+01    2.2612195e+01    2.3264794e+01    2.3391720e+01    2.3898039e+01    2.4035804e+01    2.6654252e+01
   2.1516965e+01    2.1735398e+01    2.2061593e+01    2.2642937e+01    2.3255895e+01    2.3414037e+01    2.3951490e+01    2.3997425e+01    2.6788257e+01
   2.1509375e+01    2.1679332e+01    2.2006746e+01    2.2629160e+01    2.3241066e+01    2.3393692e+01    2.3932631e+01    2.3946048e+01    2.6793442e+01
   2.1577368e+01    2.1643727e+01    2.1959969e+01    2.2581769e+01    2.3224188e+01    2.3378826e+01    2.3909121e+01    2.3930085e+01    2.6976030e+01
   2.1562172e+01    2.1703837e+01    2.2014595e+01    2.2578728e+01    2.3259063e+01    2.3411452e+01    2.3944416e+01    2.3933317e+01    2.6841035e+01
   2.1631856e+01    2.1698497e+01    2.1979476e+01    2.2544907e+01    2.3248656e+01    2.3362757e+01    2.3896208e+01    2.4020067e+01    2.6962291e+01
   2.1475170e+01    2.1692380e+01    2.1968438e+01    2.2562781e+01    2.3264171e+01    2.3329593e+01    2.3843718e+01    2.3902372e+01    2.6954866e+01
   2.1561323e+01    2.1708252e+01    2.1981120e+01    2.2574259e+01    2.3266473e+01    2.3358763e+01    2.3892183e+01    2.3921545e+01    2.6911092e+01
   2.1569170e+01    2.1708952e+01    2.2061394e+01    2.2581755e+01    2.3291474e+01    2.3465691e+01    2.3905619e+01    2.3967616e+01    2.6993974e+01
   2.1561664e+01    2.1671389e+01    2.1982645e+01    2.2573846e+01    2.3266442e+01    2.3401003e+01    2.3944289e+01    2.3987776e+01    2.6786230e+01
   2.1589554e+01    2.1745285e+01    2.2005788e+01    2.2582773e+01    2.3281636e+01    2.3364377e+01    2.3949353e+01    2.3940909e+01    2.6959226e+01
